"MLS #","Subdivision","Price","Approx SQFT","Full Baths","Beds","Closed Date","Days On Market","Address","City","Status","List Agent - Agent Name and Phone","List Office - Office Name"
"26030406","THOMAS' ACRES","$1,325","1200","2","3",,"4","211 Thomas Circle","Lonoke","New Listing","Valerie L Daniels - Agent: 501-628-8186","Iron Hog Construction & Realty, LLC"
"25042025","SOUTH HAVEN ESTATES PHASE 1","$1,350","1143","2","3",,"134","1296 Maple Street","Haskell","Withdrawn","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"24004539","Sherwood Estates","$1,350","1274","2","3","3/14/2024","31","3113 Whispering Oak B","Bryant","Rented","Kelly E Tucker - Agent: 501-562-3939","Pro Realty, Inc."
"24004129","Sherwood Estates","$1,350","1274","2","3","4/12/2024","64","3113 Whispering Oak A","Bryant","Rented","Kelly E Tucker - Agent: 501-562-3939","Pro Realty, Inc."
"23017971","Bailey To Jack","$1,350","1445","2","3",,"27","1501 S Bailey Street","Jacksonville","Withdrawn","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"26027289","Not in Subdivision","$1,350","1280","2","3",,"24","7205 Brixie Road","Little Rock","Active","Holly Driver - Agent: 501-912-5231","Signature Properties"
"26020225","Homestead","$1,395","1451","2","3","6/1/2026","13","3 Sun Drenched Trail","Conway","Leased","Katelyn Boyd - Agent: 501-269-9958","Advantage Property Management"
"23032356","Laskers","$1,395","1302","2","3","12/28/2023","79","1704 W Long 17th Street","North Little Rock","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"24042639","Sherwood Estates","$1,395","1310","2","3","4/15/2025","137","3113 Whispering Oak A","Bryant","Leased","Kelly E Tucker - Agent: 501-562-3939","Pro Realty, Inc."
"25045935","John Stamps","$1,395","1404","2","3","6/8/2026","198","1515 stamps","Jacksonville","Leased","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"26007534","SULLY'S SUBDIVISION","$1,395","1340","2","3",,"28","817 Ellis Street","Jacksonville","Withdrawn","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty"
"25023789","SULLY'S SUBDIVISION","$1,395","1340","2","3",,"126","815 Ellis","Jacksonville","Withdrawn","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"25041361","John Stamps","$1,395","1400","2","3",,"289","1516 S bailey","Jacksonville","Active","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"25034424","Not in Subdivision","$1,400","1113","2","3","11/18/2025","78","1718 S Cross St","Little Rock","Leased","Black Rock Property Management - Julia's #: 501-539-2325","Black Rock Realty"
"23017978","Bailey To Jack","$1,400","1445","2","3","8/23/2023","71","1507 S Bailey Street","Jacksonville","Leased","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"25047297","DEERFIELD ESTATES","$1,400","1377","2","3","12/9/2025","11","51 Ten Point Lane","Ward","Leased","Jessica Brown - Agent: 501-843-4663","Edge Realty"
"26026245","Navasota 1st","$1,400","1104","1","3",,"32","119 Pottawattamie Drive","Cherokee Village","Active","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23032395","FAIRVIEW HAVEN","$1,400","1807","2","3","10/25/2023","15","2602 Sarah Lane","Paragould","Leased","Danna Johnson - Cell: 870-919-2226","Johnson Real Estate Group"
"22021307","OAKLAND GROVE ESTATES","$1,400","1600","2","4",,"161","30 Erwin Drive","Austin","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22021308","OAKLAND GROVE ESTATES","$1,400","1600","2","4",,"91","24 Erwin Drive","Austin","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"26009388","Robinson","$1,400","1567","2","4","3/27/2026","16","3122 Main Street","Little Rock","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"25007513","01-1S-13","$1,400","1250","2","3",,"248","2600 Quidditch Loop","Benton","Expired","Amanda L Tarver - Agent: 501-317-8065","Century 21 Parker & Scroggins Realty - Benton"
"25007526","01-11-10","$1,400","1250","2","3",,"217","2400 Quidditch Loop","Benton","Expired","Amanda L Tarver - Agent: 501-317-8065","Century 21 Parker & Scroggins Realty - Benton"
"26022520","Roots & Coy","$1,400","1183","1","3",,"60","1021 S Woodrow Street","Little Rock","Active","Darius J Hall - Agent: 501-404-0190","Keller Williams Realty"
"25044404","SULLY'S SUBDIVISION","$1,425","1340","2","3","11/13/2025","7","815 Ellis","Jacksonville","Rented","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty Cabot Branch"
"26005453","GALLOWAYS ADDN","$1,445","1420","2","3","3/25/2027","41","215 N Elm Street","Jacksonville","Rented","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty"
"26005459","GALLOWAYS ADDN","$1,445","1420","2","3",,"43","221 N Elm Street","Jacksonville","Withdrawn","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty"
"22023413","Not in List","$1,450","1303","2","3","8/16/2022","23","1380 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"25036223","HP Merritts","$1,450","1320","2","3","1/2/2026","93","2119 Duncan Street","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"22005176","MUSEUM MEADOWS","$1,450","1486","2","3","4/1/2022","28","2210 Getty Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"22026056","Not in List","$1,450","1300","2","3","9/7/2022","8","1355 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23031581","BELL VALLEY","$1,450","1303","2","3","11/30/2023","27","1355 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23037902","BELL VALLEY","$1,450","1300","2","3","12/4/2023","4","1380 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"25038943","PAW'S PLACE","$1,450","1430","2","3","4/14/2026","200","18 Bobby Eugene Drive","Ward","Leased","James H Knaack - Agent: 501-773-1487","PorchLight Realty"
"24040983","Baring Cross","$1,450","1350","2","3",,"175","1311 Franklin Street","North Little Rock","Withdrawn","Korry Garrett - Agent: 501-269-0999","Century 21 Sandstone Real Estate Group"
"23019081","Worthen WB","$1,450","1517","2","3","3/18/2024","267","3700 W 13th Street","Little Rock","Leased","Takeia S Johnson - Agent: 501-541-0055","Mid South Realty"
"25046033","Neely","$1,450","1386","2","3","12/31/2026","16","806 Schley","Benton","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"22026854","Benton","$1,450","1350","2","3","10/1/2022","57","810 Schley Avenue","Benton","Rented","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"22026851","Benton","$1,450","1350","2","3","9/23/2022","49","806 Schley Avenue","Benton","Rented","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"23029770","Metes & Bounds","$1,475","1410","2","3","2/2/2024","104","118 Union Road","Greenbrier","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23038420","Metes & Bounds","$1,475","1410","2","3","3/11/2024","88","114 Union Road","Greenbrier","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24025522","Metes & Bounds","$1,475","1410","2","3","9/9/2024","35","118 Union Road","Greenbrier","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"26024261","Pike County","$1,475","1150","2","3",,"46","2312 Lavern Street","Bryant","Active","Steven Childress - Agent: 501-672-6909","Realty One Group - Pinnacle"
"24005022","Adams Replat #1","$1,475","1200","2","3",,"224","1914 S Dennison Street","Little Rock","Expired","Keisha D Walker","Dawn Realty"
"25041726","Speers","$1,475","1720","2","4",,"122","322 E Maple Unit B Street","Benton","Withdrawn","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"25023785","SULLY'S SUBDIVISION","$1,495","1340","2","3","9/30/2026","77","815 Ellis Street","Jacksonville","Rented","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"26005461","GALLOWAYS ADDN","$1,495","1420","2","3","2/20/2026","8","219 N Elm Street","Jacksonville","Rented","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty"
"24042211","Dodges","$1,495","1500","2","3","2/3/2025","69","1411 College Street","Little Rock","Rented","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"23017975","Bailey To Jack","$1,495","1445","2","3",,"27","1503 S Bailey Street","Jacksonville","Withdrawn","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"25037629","GALLOWAYS ADDN","$1,495","1420","2","3",,"146","221 N Elm Street","Jacksonville","Withdrawn","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty Cabot Branch"
"25037631","GALLOWAYS ADDN","$1,495","1420","2","3",,"146","219 N Elm Street","Jacksonville","Withdrawn","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty Cabot Branch"
"25039909","GALLOWAYS ADDN","$1,495","1420","2","3",,"130","215 N Elm Street","Jacksonville","Withdrawn","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty Cabot Branch"
"26025357","Homestead","$1,495","1143","2","3","7/13/2026","20","31 Winter Valley Cove","Conway","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"16016251","Summerwood","$1,495","2579","2","4","8/15/2016","75","1601 Winbourne Drive","North Little Rock","Leased","Kristine R Barnello - Agent: 501-658-5342","Michele Phillips & Co. Realtors"
"25031302","Jones & Worthen","$1,495","1300","2","3","11/17/2025","103","3317 W 15th Street","Little Rock","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"23019078","Worthen WB","$1,495","1517","2","3","8/18/2023","50","3700 W 13th Street","Little Rock","Leased","Takeia S Johnson - Agent: 501-541-0055","Mid South Realty"
"26001444","South Highland","$1,495","1370","2","3","3/13/2026","54","3403 W 17th Street","Little Rock","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"26001483","South Highland","$1,495","1370","2","3","3/16/2026","56","3401 W 17th Street","Little Rock","Leased","Michael P Griffin - Agent: 501-454-4552","Mid South Realty"
"24006726","Homestead","$1,500","1470","2","4","4/19/2024","18","33 Curly Leaf Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24033090","Speers","$1,500","1720","2","4","11/1/2025","53","322 E Maple Street","Benton","Rented","Brittney Calhoun - Agent: 501-651-0700","Prime Realty and Property Management"
"24042354","Metes & Bounds","$1,500","1341","1","3",,"70","53 FM 101 Road","Highland","Withdrawn","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"25049765","MUSEUM MEADOWS","$1,500","1300","2","3","1/30/2026","24","2220 Getty Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24028638","MUSEUM MEADOWS","$1,500","1407","2","3","10/4/2024","43","1060 Rockwell Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24010467","Homestead","$1,500","1355","2","3","5/31/2024","36","21 Curly Leaf","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24003229","MUSEUM MEADOWS","$1,500","1703","2","3","4/18/2024","57","1050 Rockwell Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23035484","MUSEUM MEADOWS","$1,500","1300","2","3","11/14/2023","10","2220 Getty Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23010702","MUSEUM MEADOWS","$1,500","1703","2","3","6/27/2023","72","1050 Rockwell Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24025794","BELL VALLEY","$1,500","1420","2","3","8/14/2024","8","1365 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23023260","BELL VALLEY","$1,500","1657","2","4","9/13/2023","42","1360 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23022212","BELL VALLEY","$1,500","1486","2","3","8/18/2023","26","1270 Acuff Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"22033286","BELL VALLEY","$1,500","1420","2","3","10/19/2022","7","1365 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"25042128","OAKLAND GROVE ESTATES","$1,500","1480","2","3",,"1","19 Erwin","Austin","Withdrawn","Danny N Brightwell","RE/MAX Encore"
"22024548","HP Merritts","$1,500","1256","2","3","8/4/2022","6","2119 Duncan Street","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"24043490","Parkway Meadows","$1,500","1300","2","3","1/31/2025","28","3049 Emerald Park Trail","Bauxite","Leased","Kimberly L Santos - Agent: 501-766-3749","Innovative Realty"
"22021478","Benton","$1,500","1350","2","3","6/29/2022","2","513 S Third Street","Benton","Rented","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"23006656","Vivian","$1,500","1320","2","3","3/10/2023","7","2405 Vivian Drive","Benton","Rented","Jessica Parker - Agent: 501-303-0088","Century 21 Parker & Scroggins Realty - Benton"
"22008434","Oak Dale","$1,500","1355","2","3","4/15/2022","29","1221 Cherry Lane","Benton","Leased","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"22008435","Oakmont","$1,500","1355","2","3","4/13/2022","15","1223 Cherry Lane","Benton","Leased","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"22021487","Benton","$1,500","1350","2","3","6/29/2022","2","511 S Third Street","Benton","Leased","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
"26025682","Speers","$1,500","3300","2","4","12/31/2026","0","3222 East Maple Street","Benton","Leased","Steven Childress - Agent: 501-672-6909","Realty One Group - Pinnacle"
"25040394","COUNTRY CLUB OF ARK THE","$1,500","1362","2","3","10/31/2026","24","10417 Marilyn Drive","North Little Rock","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"25034361","WHITE OAK CROSSING","$1,500","1600","2","3","10/31/2026","66","8609 Westwood Creek Dr.","North Little Rock","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"24025695","THE GROVE AT CENTENNIAL VALLEY","$1,500","1243","2","3","8/16/2025","28","4520 Olympic Drive","Benton","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"24030417","Speers","$1,500","1410","2","3","12/20/2025","121","513 S 3rd Street","Benton","Rented","Brittney Calhoun - Agent: 501-651-0700","Prime Realty and Property Management"
"24028650","Parkway Meadows","$1,500","1300","2","3",,"93","3049 Emerald Park Trail","Bauxite","Expired","Kimberly L Santos - Agent: 501-766-3749","Innovative Realty"
"25018906","Neely","$1,500","1248","2","3","7/15/2025","62","802 Schley","Benton","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"24034262","THE GROVE AT CENTENNIAL VALLEY","$1,500","1400","2","4","11/1/2025","45","1072 Huntington Drive","Benton","Rented","Brittney Calhoun - Agent: 501-651-0700","Prime Realty and Property Management"
"25010787","HILLDALE CROSSING","$1,525","1192","2","3","5/1/2026","42","2097 Bentwood Drive","Alexander","Rented","Brittney Calhoun - Agent: 501-651-0700","Prime Realty and Property Management"
"22023051","Matthews","$1,549","1631","2","4",,"235","2 Winter Valley Cove","Conway","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22008520","STAGECOACH MEADOWS","$1,550","1243","2","3",,"68","5 Laney Loop","Little Rock","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"25042375","Neely","$1,550","1386","2","3",,"1","806 Schley Street","Benton","Expired","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"25049796","THE GROVE AT CENTENNIAL VALLEY","$1,550","1243","2","3","3/31/2027","35","4520 Olympic Drive","Benton","Rented","Skyla Conger - Agent: 501-317-1130","Prime Realty and Property Management"
"26022697","Kimball","$1,550","1300","2","3",,"34","717 W 32nd Street","Little Rock","Withdrawn","Veronica Gregory","Keller Williams Realty"
"25020103","Oakmont","$1,550","1355","2","3","6/30/2026","40","1223 Cherry Lane","Benton","Rented","Mary L Scogin - Agent: 501-651-0700","Prime Realty and Property Management"
"26022510","MUSEUM MEADOWS","$1,550","1486","2","3","7/1/2026","8","2210 Getty Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"22005177","MUSEUM MEADOWS","$1,550","1543","2","4","6/3/2022","73","2230 Getty Drive","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"26000289","WHITE OAK CROSSING","$1,550","2025","2","3","1/23/2026","21","10805 Mason Drive","North Little Rock","Leased","Jamie M Hoffman - Agent: 501-232-8964","River Rock Realty Company"
"26024128","STAGECOACH MEADOWS","$1,550","1481","2","4","7/31/2026","46","90 Kinley Brook Lane","Cabot","Leased","Holly R Clark - Agent: 501-843-4473","CENTURY 21 Real Estate Unlimited"
"25006609","BELL VALLEY","$1,550","1544","2","4","3/21/2025","6","1360 Fresca Lane","Conway","Leased","George Heintzen III - Agent: 501-328-2073","Welcome Home Properties"
"23033602","Dickson","$1,575","1256","2","3",,"141","404 W Matthews","Brookland","Withdrawn","Eric T Burch - Agent: 870-919-4968","Burch and Co. Real Estate"
"25031181","Homestead","$1,575","1545","2","4",,"0","19 Curly Leaf","Conway","Withdrawn","Peggy Goodman - Agent: 501-676-1758","McKimmey Associates, Realtors - 50 Pine"
"25030926","Homestead","$1,575","1559","2","4","8/17/2025","9","4 Curly Leaf","Conway","Leased","Peggy Goodman - Agent: 501-676-1758","McKimmey Associates, Realtors - 50 Pine"
"25031183","Homestead","$1,575","1545","2","4",,"103","19 Curly Leaf","Conway","Withdrawn","Peggy Goodman - Agent: 501-676-1758","McKimmey Associates, Realtors - 50 Pine"
"22012457","MUSEUM MEADOWS","$1,575","1330","2","3",,"75","1115 Okeefe Avenue","Conway","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22033069","MUSEUM MEADOWS","$1,575","1631","2","4","10/27/2022","27","1115 Rockwell Drive","Conway","Leased","Heather Marshall - Agent: 501-350-0540","McKimmey Associates, Realtors - 50 Pine"
"22032126","MUSEUM MEADOWS","$1,575","1536","2","4","10/27/2022","56","1030 O'Keefe Avenue","Conway","Leased","Peggy Goodman - Agent: 501-676-1758","McKimmey Associates, Realtors - 50 Pine"
"25039907","GALLOWAYS ADDN","$1,575","1420","2","3","10/4/2025","0","217 N Elm Street","Jacksonville","Rented","Elizabeth O'Neill - Agent: 501-251-3065","Back Porch Realty Cabot Branch"
"25049321","Not in Subdivision","$1,585","1210","2","3",,"20","17122 Raines Road","Little Rock","Expired","Holly Driver - Agent: 501-912-5231","Signature Properties"
"24026446","HILLDALE CROSSING","$1,595","1613","2","4",,"179","5009 Windflower Cove","Alexander","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22007813","The Parks","$1,599","1500","2","3",,"378","10 Big Bend Drive","Mabelvale","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22007519","STAGECOACH MEADOWS","$1,599","1450","2","3",,"291","53 Laney Loop","Little Rock","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"22008192","nil","$1,600","1355","2","3","4/15/2022","32","505 Genesis","Benton","Leased","Wayne Post - Agent: 501-454-8263","Century 21 Parker & Scroggins Realty - Benton"
