bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,livingArea,price,propertyUrl,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
4,20,/homedetails/6587-Westminster-Benton-AR-72019/120554683_zpid/,FOR_RENT,555000,"6587 Westminster, Benton, AR 72019",6587 Westminster,3695,3650,3695,https://www.zillow.com/homedetails/6587-Westminster-Benton-AR-72019/120554683_zpid/,2026-07-27T00:00:00.000Z,Listed for rent,2025-06-03T00:00:00.000Z,Listing removed,2025-05-23T00:00:00.000Z,Listed for rent,2025-05-21T00:00:00.000Z,Listing removed,2025-05-04T00:00:00.000Z,Listed for rent,2024-02-14T00:00:00.000Z,Listing removed,2024-01-31T00:00:00.000Z,Price change,2024-01-05T00:00:00.000Z,Price change,2023-12-15T00:00:00.000Z,Price change,2023-11-29T00:00:00.000Z,Listed for rent,2022-06-07T00:00:00.000Z,Listing removed,2022-06-03T00:00:00.000Z,Price change,2022-06-02T00:00:00.000Z,Listed for rent,2022-05-25T00:00:00.000Z,Listing removed,2022-05-20T00:00:00.000Z,Price change,2022-05-09T00:00:00.000Z,Listed for rent,2022-04-29T00:00:00.000Z,Listing removed,2022-04-04T00:00:00.000Z,Listed for rent,2021-12-28T00:00:00.000Z,Listing removed,2021-11-28T00:00:00.000Z,Listed for rent,2021-07-07T00:00:00.000Z,Sold,2021-06-01T00:00:00.000Z,Contingent,2021-05-28T00:00:00.000Z,Listed for sale,2015-02-03T00:00:00.000Z,Sold,,,,,,,,
3,30,/homedetails/414-Newcomb-Cv-Benton-AR-72015/384931_zpid/,FOR_RENT,65531,"414 Newcomb Cv, Benton, AR 72015",414 Newcomb Cv,1600,1384,1600,https://www.zillow.com/homedetails/414-Newcomb-Cv-Benton-AR-72015/384931_zpid/,2026-07-17T00:00:00.000Z,Listed for rent,2010-11-30T00:00:00.000Z,Sold,2005-03-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,46,/homedetails/103-Pope-Dr-Benton-AR-72015/82243468_zpid/,FOR_RENT,115000,"103 Pope Dr, Benton, AR 72015",103 Pope Dr,1625,1559,1625,https://www.zillow.com/homedetails/103-Pope-Dr-Benton-AR-72015/82243468_zpid/,2026-07-01T00:00:00.000Z,Listed for rent,2024-08-21T00:00:00.000Z,Listing removed,2024-07-02T00:00:00.000Z,Price change,2024-05-31T00:00:00.000Z,Listed for rent,2017-07-19T00:00:00.000Z,Listing removed,2017-06-17T00:00:00.000Z,Listed for rent,2016-11-06T00:00:00.000Z,Listing removed,2014-04-08T00:00:00.000Z,Listing removed,2014-01-31T00:00:00.000Z,Sold,2014-01-29T00:00:00.000Z,Listed for rent,2013-11-25T00:00:00.000Z,Listed for sale,2013-10-08T00:00:00.000Z,Sold,2012-06-06T00:00:00.000Z,Listing removed,2012-05-24T00:00:00.000Z,Price change,2012-03-22T00:00:00.000Z,Listed for sale,2008-01-28T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,
3,12,/homedetails/106-Sahalee-Cv-Haskell-AR-72015/92429832_zpid/,FOR_RENT,145000,"106 Sahalee Cv, Haskell, AR 72015",106 Sahalee Cv,1450,1482,1450,https://www.zillow.com/homedetails/106-Sahalee-Cv-Haskell-AR-72015/92429832_zpid/,2026-08-04T00:00:00.000Z,Listed for rent,2025-02-28T00:00:00.000Z,Listing removed,2025-02-22T00:00:00.000Z,Price change,2025-02-20T00:00:00.000Z,Price change,2025-02-07T00:00:00.000Z,Price change,2025-01-23T00:00:00.000Z,Listed for rent,2023-11-01T00:00:00.000Z,Sold,2020-11-27T00:00:00.000Z,Listing removed,2020-10-16T00:00:00.000Z,Listed for rent,2015-03-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,/homedetails/2106-Cherry-Creek-Cir-Bryant-AR-72022/390348_zpid/,FOR_RENT,175000,"2106 Cherry Creek Cir, Bryant, AR 72022",2106 Cherry Creek Cir,1695,1468,1695,https://www.zillow.com/homedetails/2106-Cherry-Creek-Cir-Bryant-AR-72022/390348_zpid/,2026-07-28T00:00:00.000Z,Listed for rent,2022-05-10T00:00:00.000Z,Listing removed,2022-04-26T00:00:00.000Z,Listed for rent,2022-03-25T00:00:00.000Z,Sold,2022-02-21T00:00:00.000Z,Contingent,2022-02-17T00:00:00.000Z,Listed for sale,2016-07-11T00:00:00.000Z,Sold,2006-10-03T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41,/homedetails/807-S-Main-Benton-AR-72015/382019_zpid/,FOR_RENT,109900,"807 S Main, Benton, AR 72015",807 S Main,1300,1288,1300,https://www.zillow.com/homedetails/807-S-Main-Benton-AR-72015/382019_zpid/,2026-07-31T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Price change,2026-07-06T00:00:00.000Z,Listed for rent,2020-04-16T00:00:00.000Z,Sold,2020-04-06T00:00:00.000Z,Listing removed,2020-04-02T00:00:00.000Z,Price change,2020-02-17T00:00:00.000Z,Listed for rent,2019-10-19T00:00:00.000Z,Listing removed,2019-10-18T00:00:00.000Z,Price change,2019-10-16T00:00:00.000Z,Price change,2019-10-11T00:00:00.000Z,Price change,2019-10-09T00:00:00.000Z,Price change,2019-10-07T00:00:00.000Z,Price change,2019-10-04T00:00:00.000Z,Price change,2019-10-02T00:00:00.000Z,Price change,2019-09-30T00:00:00.000Z,Price change,2019-09-28T00:00:00.000Z,Listed for sale,2019-09-27T00:00:00.000Z,Sold,2019-09-23T00:00:00.000Z,Price change,2019-09-21T00:00:00.000Z,Price change,2019-09-18T00:00:00.000Z,Price change,2019-09-16T00:00:00.000Z,Price change,2019-09-14T00:00:00.000Z,Price change,2019-09-11T00:00:00.000Z,Price change,2019-09-07T00:00:00.000Z,Price change,2019-08-31T00:00:00.000Z,Price change,2019-08-29T00:00:00.000Z,Listed for sale,2009-03-31T00:00:00.000Z,Sold
4,67,/homedetails/17024-Congo-Ferndale-Rd-Little-Rock-AR-72210/370120_zpid/,FOR_RENT,279500,"17024 Congo Ferndale Rd, Little Rock, AR 72210",17024 Congo Ferndale Rd,1675,1590,1675,https://www.zillow.com/homedetails/17024-Congo-Ferndale-Rd-Little-Rock-AR-72210/370120_zpid/,2026-06-10T00:00:00.000Z,Listed for rent,2020-09-11T00:00:00.000Z,Listing removed,2020-07-23T00:00:00.000Z,Listed for rent,2018-05-13T00:00:00.000Z,Listing removed,2018-01-31T00:00:00.000Z,Listed for rent,2017-03-29T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,57,/homedetails/6673-Hollywood-Ave-Benton-AR-72019/461413230_zpid/,FOR_RENT,215900,"6673 Hollywood Ave, Benton, AR 72019",6673 Hollywood Ave,1795,2250,1795,https://www.zillow.com/homedetails/6673-Hollywood-Ave-Benton-AR-72019/461413230_zpid/,2026-08-13T00:00:00.000Z,Price change,2026-07-22T00:00:00.000Z,Price change,2026-07-07T00:00:00.000Z,Price change,2026-06-20T00:00:00.000Z,Listed for rent,2026-05-28T00:00:00.000Z,Sold,2026-04-30T00:00:00.000Z,Contingent,2026-03-31T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,/homedetails/1056-Huntington-Dr-Benton-AR-72019/2061811695_zpid/,FOR_RENT,206900,"1056 Huntington Dr, Benton, AR 72019",1056 Huntington Dr,1645,1470,1645,https://www.zillow.com/homedetails/1056-Huntington-Dr-Benton-AR-72019/2061811695_zpid/,2026-08-04T00:00:00.000Z,Price change,2026-07-02T00:00:00.000Z,Listed for rent,2025-06-23T00:00:00.000Z,Listing removed,2025-05-14T00:00:00.000Z,Price change,2025-05-07T00:00:00.000Z,Price change,2025-04-30T00:00:00.000Z,Price change,2025-04-23T00:00:00.000Z,Price change,2025-04-04T00:00:00.000Z,Listed for rent,2024-02-10T00:00:00.000Z,Listing removed,2024-01-25T00:00:00.000Z,Listed for rent,2022-11-23T00:00:00.000Z,Sold,2022-10-05T00:00:00.000Z,Contingent,2022-10-04T00:00:00.000Z,Price change,2022-08-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,FOR_RENT,117000,"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,1400,1394,1400,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,2026-07-17T00:00:00.000Z,Listed for rent,2025-09-24T00:00:00.000Z,Listing removed,2025-09-04T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Listing removed,2024-07-20T00:00:00.000Z,Price change,2024-06-25T00:00:00.000Z,Listed for rent,2023-06-25T00:00:00.000Z,Listing removed,2023-06-02T00:00:00.000Z,Listed for rent,2021-12-27T00:00:00.000Z,Listing removed,2021-12-19T00:00:00.000Z,Listed for rent,2013-05-01T00:00:00.000Z,Listing removed,2013-04-21T00:00:00.000Z,Listed for rent,2013-04-19T00:00:00.000Z,Sold,2012-12-01T00:00:00.000Z,Price change,2012-10-15T00:00:00.000Z,Listed for sale,2011-04-01T00:00:00.000Z,Sold,2011-01-17T00:00:00.000Z,Price change,2011-01-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,
3,12,/homedetails/328-Gathering-House-Rd-Haskell-AR-72015/64861478_zpid/,FOR_RENT,188000,"328 Gathering House Rd, Haskell, AR 72015",328 Gathering House Rd,1695,2000,1695,https://www.zillow.com/homedetails/328-Gathering-House-Rd-Haskell-AR-72015/64861478_zpid/,2026-08-04T00:00:00.000Z,Listed for rent,2025-07-18T00:00:00.000Z,Listing removed,2025-07-17T00:00:00.000Z,Price change,2025-07-10T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Price change,2025-06-12T00:00:00.000Z,Listed for rent,2024-06-07T00:00:00.000Z,Listing removed,2024-06-06T00:00:00.000Z,Price change,2024-05-31T00:00:00.000Z,Price change,2024-05-25T00:00:00.000Z,Price change,2024-05-18T00:00:00.000Z,Price change,2024-04-26T00:00:00.000Z,Listed for rent,2023-12-01T00:00:00.000Z,Sold,2023-10-03T00:00:00.000Z,Listing removed,2023-08-29T00:00:00.000Z,Listed for rent,2022-05-19T00:00:00.000Z,Listing removed,2022-05-18T00:00:00.000Z,Price change,2022-05-05T00:00:00.000Z,Listed for rent,2020-04-23T00:00:00.000Z,Listing removed,2020-04-04T00:00:00.000Z,Listed for rent,2019-04-06T00:00:00.000Z,Listing removed,2019-04-01T00:00:00.000Z,Sold,2019-03-12T00:00:00.000Z,Listed for rent,,,,,,,,,,
3,27,/homedetails/43-Bud-Grimes-Rd-Ward-AR-72176/35732506_zpid/,FOR_RENT,152500,"43 Bud Grimes Rd, Ward, AR 72176",43 Bud Grimes Rd,1295,1200,1295,https://www.zillow.com/homedetails/43-Bud-Grimes-Rd-Ward-AR-72176/35732506_zpid/,2026-07-20T00:00:00.000Z,Listed for rent,2026-02-24T00:00:00.000Z,Listing removed,2026-02-17T00:00:00.000Z,Price change,2026-02-03T00:00:00.000Z,Listed for rent,2022-09-15T00:00:00.000Z,Listing removed,2022-08-24T00:00:00.000Z,Listed for rent,2022-05-27T00:00:00.000Z,Sold,2022-05-12T00:00:00.000Z,Contingent,2022-05-11T00:00:00.000Z,Listed for sale,2017-03-07T00:00:00.000Z,Sold,2016-11-15T00:00:00.000Z,Price change,2016-10-12T00:00:00.000Z,Price change,2016-09-08T00:00:00.000Z,Price change,2016-06-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,62,/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,FOR_RENT,105000,"203 Lynn Ln, Lonoke, AR 72086",203 Lynn Ln,1225,1200,1225,https://www.zillow.com/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,2026-06-30T00:00:00.000Z,Price change,2026-06-15T00:00:00.000Z,Listed for rent,2026-06-01T00:00:00.000Z,Listing removed,2026-05-14T00:00:00.000Z,Listed for rent,2022-05-19T00:00:00.000Z,Sold,2022-05-13T00:00:00.000Z,Contingent,2022-05-05T00:00:00.000Z,Listed for sale,2014-05-30T00:00:00.000Z,Sold,2014-02-20T00:00:00.000Z,Sold,2014-01-11T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,/homedetails/400-Apricot-St-Austin-AR-72007/82250818_zpid/,FOR_RENT,280000,"400 Apricot St, Austin, AR 72007",400 Apricot St,1475,1200,1475,https://www.zillow.com/homedetails/400-Apricot-St-Austin-AR-72007/82250818_zpid/,2026-07-22T00:00:00.000Z,Price change,2026-06-24T00:00:00.000Z,Price change,2026-05-16T00:00:00.000Z,Price change,2026-05-08T00:00:00.000Z,Listed for rent,2025-09-09T00:00:00.000Z,Listing removed,2025-08-26T00:00:00.000Z,Listed for rent,2025-08-21T00:00:00.000Z,Sold,2024-07-10T00:00:00.000Z,Listing removed,2024-06-24T00:00:00.000Z,Listed for rent,2024-06-10T00:00:00.000Z,Listing removed,2024-06-02T00:00:00.000Z,Listed for rent,2024-02-08T00:00:00.000Z,Sold,2023-06-11T00:00:00.000Z,Listing removed,2023-06-02T00:00:00.000Z,Price change,2022-11-16T00:00:00.000Z,Listed for rent,2022-10-07T00:00:00.000Z,Sold,2022-08-15T00:00:00.000Z,Listed for sale,2015-03-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,
3,24,/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,FOR_RENT,,"101 Cedar Creek Loop, Cabot, AR 72023",101 Cedar Creek Loop,1345,1422,1345,https://www.zillow.com/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,2026-08-06T00:00:00.000Z,Price change,2026-07-30T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,FOR_RENT,226000,"15 Applewood Cv, Cabot, AR 72023",15 Applewood Cv,1600,1588,1600,https://www.zillow.com/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,2026-07-17T00:00:00.000Z,Listed for rent,2024-05-04T00:00:00.000Z,Listing removed,2024-04-27T00:00:00.000Z,Listed for rent,2024-04-19T00:00:00.000Z,Sold,2024-03-14T00:00:00.000Z,Listed for sale,2022-10-31T00:00:00.000Z,Sold,2022-08-02T00:00:00.000Z,Listed for sale,2019-10-28T00:00:00.000Z,Sold,2019-09-18T00:00:00.000Z,Listed for sale,2014-01-02T00:00:00.000Z,Sold,2013-11-23T00:00:00.000Z,Price change,2013-10-17T00:00:00.000Z,Price change,2013-09-20T00:00:00.000Z,Listed for sale,2012-03-08T00:00:00.000Z,Listing removed,2011-09-23T00:00:00.000Z,Listed for sale,2011-05-07T00:00:00.000Z,Listing removed,2011-01-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,
3,11,/homedetails/6-Oddie-Ln-Ward-AR-72176/35731735_zpid/,FOR_RENT,125000,"6 Oddie Ln, Ward, AR 72176",6 Oddie Ln,1300,1248,1300,https://www.zillow.com/homedetails/6-Oddie-Ln-Ward-AR-72176/35731735_zpid/,2026-08-05T00:00:00.000Z,Listed for rent,2024-06-26T00:00:00.000Z,Listing removed,2024-06-07T00:00:00.000Z,Listed for rent,2024-03-29T00:00:00.000Z,Listing removed,2024-03-17T00:00:00.000Z,Listed for rent,2024-03-11T00:00:00.000Z,Sold,2024-02-07T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
