filename,source_type,label,added_date
apify-run-2026-09-02.csv,apify,Apify actor runs Zti7EqB5aqPlXYLjX + nK93kx53jZ5QHtAnY (2026-09-02T12:36Z),2026-09-05
apify-run-2026-09-04.csv,apify,Apify actor runs PdYM5KrXFHPtHGpLp + Ecve0dUDBak4a0Cuh (2026-09-04T12:36Z),2026-09-05
apify-run-2026-09-08-batch.csv,apify,"Apify actor runs 2026-09-04T12:54Z - 2026-09-08T13:02Z (63-run backlog; lKHQnbghAtnAdO6qq..inNBEzXoKi37bw4DF; 4 unavailable: q5SBhZsETNgFMagnS, EnprtBT8mJq9LNB94, 3Pf29bySNd8oM0cYR, dG1p9q5WH7uHAcow3)",2026-09-08
apify-run-2026-09-09-batch.csv,apify,"Apify actor runs 2026-09-09 (16-run day: I99a8eUXW9mGVt8qw..QXtqePpvTqJgrxzSo, 11:30Z-13:16Z)",2026-09-10
apify-run-2026-09-05-to-08-leftover.csv,apify,"Apify actor runs hrktuNgp6UGCM4Avk + OkMe6Zdec2i78XLC7 + BHxbYNAGuTVBQEdzW + bAR3YMLg43YwphYJQ (2026-09-05 to 2026-09-08, 4 runs missed by the 63-run backlog pass due to a dataset-id mixup)",2026-09-10
apify-run-2026-09-11.csv,apify,"Apify actor runs 2026-09-11 (2-run day: 5PO2VS0eoFcpWWPEi + C3Nms4Gfg0Dj3g7Qw, 12:36Z)",2026-09-18
apify-run-2026-09-14.csv,apify,"Apify actor runs 2026-09-14 (2-run day: f8flf2AnCcwwvh38E + hNkgiJrT0vL9RVne5, 12:36Z)",2026-09-18
apify-run-2026-09-16.csv,apify,"Apify actor runs 2026-09-16 (2-run day: aHxI7JppaxjSOfffP + pJAQoT9IdcOlCRK5R, 12:36Z)",2026-09-18
apify-run-2026-09-17-batch.csv,apify,"Apify actor runs 2026-09-17 (17-run day, 18:12Z-18:42Z: hASqruoTLSI5SmlEk, eSnp2x5vgb8XSf4dg, TXoTtIGgkrSUp8dlY, hJXktDnS1jhRsKpXA, RgFYgdxd0z8v2tXJD, PgEiSiC3A4N5z8WCV, 9adjbcWi71VqRh9A3, KlvP28LpJxAb06kzh, bmXJSeqIOmWp0S70a, gf61OMHNgZfzA6PsJ, Ridbdmg9NAdA86C1Z, HNJac0nLlRaJfX6Tz, zNAOevXb7gIRI5m0x, wFCKKDAfQlccguIHD, llqJi7jj8n8Sdl0l1, A5cPwH12yomJxFIn4, S6NButs74dJsH5CFO)",2026-09-18
apify-run-2026-09-18-batch.csv,apify,"Apify actor runs 2026-09-18 (16-run day, 11:23Z-12:36Z: HGfsDY2kEP2c9CwHf, 8WZj14ComIAc9MpMR, dCG0vmA7xYfEdgzjy, 5gBNQZXgqtCtSFXrf, KepuwNnDggNcQLJY4, ckLpqxGO71RzqAYBR, DMxFlDE3wd09d005a, OUlAZA7ZmJgca24bS, fS1zeGkePa4LhgLcM, aelNbglbM1lz1rePw, iQSaGTAF5aRbfyNGt, 9UO1aiNNlkgth5kvT, IlpZSOfdaKh7yjN9m, a4Ewtxg5U5IhtPcMa, 8saI3P4eIfKrGbmUp, 4UrIcPGJH2VEUegkl)",2026-09-18
apify-run-2026-09-23-batch.csv,apify,"Apify actor runs bKENuA6x2TFWUQ6uh + 58xr2uy3qL5hWqBAO (2026-09-23T12:36Z, 582 items combined, mixed AR/NC)",2026-09-23
apify-run-2026-09-24-batch.csv,apify,"Apify actor runs 2026-09-23T13:03Z - 2026-09-24T12:36Z (batch of 55 runs after the bKENuA6x2TFWUQ6uh+58xr2uy3qL5hWqBAO boundary; mixed AR/NC/AL, 1559 items combined across little-rock-ar+hickory-nc+baldwin-county-al)",2026-09-25
apify-run-2026-09-25-batch.csv,apify,"Apify actor runs eSO6GENocokQ5K5OZ + yCFAsh5Yg0izTkEM3 (2026-09-25T12:36Z, 489 items combined, mixed AR/NC)",2026-09-25
