listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"305 Susan Lynn Dr, Meridianville, AL 35759",305 Susan Lynn Dr,Meridianville,AL,,forRent,4,2173,,2050,20,https://www.zillow.com/homedetails/305-Susan-Lynn-Dr-Meridianville-AL-35759/461000879_zpid/,,,2026-09-10T00:00:00.000Z,Price change,2026-09-04T00:00:00.000Z,Listed for rent,2026-07-30T00:00:00.000Z,Listing removed,2026-07-22T00:00:00.000Z,Price change,2026-05-26T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-03-12T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"154 Lillian Farms Blvd, Huntsville, AL 35811",154 Lillian Farms Blvd,Huntsville,AL,,forRent,4,2106,,2050,41,https://www.zillow.com/homedetails/154-Lillian-Farms-Blvd-Huntsville-AL-35811/439927939_zpid/,,310000,2026-09-08T00:00:00.000Z,Price change,2026-08-15T00:00:00.000Z,Listed for rent,2024-10-30T00:00:00.000Z,Sold,2024-09-03T00:00:00.000Z,Pending sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 Ledesma Ln, Huntsville, AL 35811",500 Ledesma Ln,Huntsville,AL,,forRent,4,2065,,2100,10,https://www.zillow.com/homedetails/500-Ledesma-Ln-Huntsville-AL-35811/461021448_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,2026-05-16T00:00:00.000Z,Listing removed,2026-04-23T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-03-13T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"337 McHenry Dr, Huntsville, AL 35811",337 McHenry Dr,Huntsville,AL,,forRent,3,1703,,2000,26,https://www.zillow.com/homedetails/337-McHenry-Dr-Huntsville-AL-35811/439888831_zpid/,,299900,2026-08-30T00:00:00.000Z,Listed for rent,2024-11-29T00:00:00.000Z,Sold,2024-10-15T00:00:00.000Z,Pending sale,2024-10-11T00:00:00.000Z,Price change,2024-09-26T00:00:00.000Z,Price change,2024-09-20T00:00:00.000Z,Price change,2024-09-06T00:00:00.000Z,Price change,2024-09-02T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"310 Metanoia Ln, Meridianville, AL 35759",310 Metanoia Ln,Meridianville,AL,,forRent,3,1355,,1550,10,https://www.zillow.com/homedetails/310-Metanoia-Ln-Meridianville-AL-35759/465246044_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"502 Ledesma Ln, Huntsville, AL 35811",502 Ledesma Ln,Huntsville,AL,,forRent,4,2065,,2195,30,https://www.zillow.com/homedetails/502-Ledesma-Ln-Huntsville-AL-35811/460562365_zpid/,,,2026-09-05T00:00:00.000Z,Price change,2026-08-26T00:00:00.000Z,Listed for rent,2026-07-27T00:00:00.000Z,Listing removed,2026-07-24T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for sale,2026-04-11T00:00:00.000Z,Listing removed,2026-03-22T00:00:00.000Z,Price change,2026-02-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"508 Ledesma Ln, Huntsville, AL 35811",508 Ledesma Ln,Huntsville,AL,,forRent,4,1852,,1875,6,https://www.zillow.com/homedetails/508-Ledesma-Ln-Huntsville-AL-35811/460562375_zpid/,,,2026-09-24T00:00:00.000Z,Price change,2026-09-18T00:00:00.000Z,Listed for rent,2026-09-17T00:00:00.000Z,Listing removed,2026-09-15T00:00:00.000Z,Pending sale,2026-09-04T00:00:00.000Z,Listed for sale,2026-04-06T00:00:00.000Z,Listing removed,2026-03-22T00:00:00.000Z,Price change,2026-02-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122 Betty Williams Dr, Madison, AL 35756",122 Betty Williams Dr,Madison,AL,,forRent,4,1537,,1750,77,https://www.zillow.com/homedetails/122-Betty-Williams-Dr-Madison-AL-35756/460895481_zpid/,,,2026-09-08T00:00:00.000Z,Price change,2026-09-02T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Price change,2026-08-14T00:00:00.000Z,Price change,2026-07-31T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Price change,2026-07-20T00:00:00.000Z,Price change,2026-07-01T00:00:00.000Z,Listing removed,2026-06-24T00:00:00.000Z,Listed for rent,2026-06-01T00:00:00.000Z,Price change,2026-05-29T00:00:00.000Z,Listed for sale,2026-05-15T00:00:00.000Z,Pending sale,2026-03-06T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"199 Murphy Ln, Madison, AL 35756",199 Murphy Ln,Madison,AL,,forRent,4,1884,,1900,49,https://www.zillow.com/homedetails/199-Murphy-Ln-Madison-AL-35756/2053095481_zpid/,,307915,2026-09-09T00:00:00.000Z,Price change,2026-08-06T00:00:00.000Z,Listed for rent,2024-06-13T00:00:00.000Z,Listing removed,2024-04-29T00:00:00.000Z,Listed for rent,2024-04-23T00:00:00.000Z,Sold,2024-02-25T00:00:00.000Z,Pending sale,2024-01-24T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"206 Murphy Ln, Madison, AL 35756",206 Murphy Ln,Madison,AL,,forRent,4,1495,,2000,38,https://www.zillow.com/homedetails/206-Murphy-Ln-Madison-AL-35756/2055685237_zpid/,,290415,2026-09-16T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-08-17T00:00:00.000Z,Listed for rent,2024-02-06T00:00:00.000Z,Sold,2023-12-06T00:00:00.000Z,Pending sale,2023-09-06T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"160 Labrador Ln, Harvest, AL 35749",160 Labrador Ln,Harvest,AL,,forRent,4,1891,,1795,24,https://www.zillow.com/homedetails/160-Labrador-Ln-Harvest-AL-35749/463761588_zpid/,,,2026-08-31T00:00:00.000Z,Listed for rent,2026-08-10T00:00:00.000Z,Listing removed,2026-07-22T00:00:00.000Z,Price change,2026-07-11T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"302 Spanish Moss Ct, New Market, AL 35761",302 Spanish Moss Ct,New Market,AL,,forRent,3,1446,,1595,20,https://www.zillow.com/homedetails/302-Spanish-Moss-Ct-New-Market-AL-35761/460587474_zpid/,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-06-11T00:00:00.000Z,Listing removed,2026-05-30T00:00:00.000Z,Price change,2026-05-26T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-02-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213 Murphy Ln, Madison, AL 35756",213 Murphy Ln,Madison,AL,,forRent,4,1884,,2699,32,https://www.zillow.com/homedetails/213-Murphy-Ln-Madison-AL-35756/2053760291_zpid/,,308415,2026-08-25T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Listed for rent,2024-06-21T00:00:00.000Z,Listing removed,2024-03-31T00:00:00.000Z,Price change,2024-03-29T00:00:00.000Z,Listed for rent,2024-03-27T00:00:00.000Z,Sold,2024-01-24T00:00:00.000Z,Pending sale,2023-12-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"306 Spanish Moss Ct, New Market, AL 35761",306 Spanish Moss Ct,New Market,AL,,forRent,4,,,1850,93,https://www.zillow.com/homedetails/306-Spanish-Moss-Ct-New-Market-AL-35761/459383134_zpid/,,,2026-06-23T00:00:00.000Z,Listed for rent,2026-04-26T00:00:00.000Z,Listing removed,2026-04-18T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-02-20T00:00:00.000Z,Price change,2026-02-13T00:00:00.000Z,Price change,2026-01-07T00:00:00.000Z,Price change,2025-12-28T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"119 Coral Bells Rd, Toney, AL 35773",119 Coral Bells Rd,Toney,AL,,forRent,3,1420,,1595,17,https://www.zillow.com/homedetails/119-Coral-Bells-Rd-Toney-AL-35773/460741976_zpid/,,,2026-09-16T00:00:00.000Z,Listing removed,2026-09-07T00:00:00.000Z,Listed for rent,2026-07-11T00:00:00.000Z,Listed for sale,2026-07-10T00:00:00.000Z,Pending sale,2026-07-09T00:00:00.000Z,Price change,2026-06-12T00:00:00.000Z,Pending sale,2026-05-30T00:00:00.000Z,Price change,2026-05-26T00:00:00.000Z,Price change,2026-04-23T00:00:00.000Z,Price change,2026-04-07T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-03-13T00:00:00.000Z,Price change,2026-02-27T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28080 Saddle Springs Dr NW, Madison, AL 35756",28080 Saddle Springs Dr NW,Madison,AL,,forRent,4,1841,,2450,57,https://www.zillow.com/homedetails/28080-Saddle-Springs-Dr-NW-Madison-AL-35756/461390297_zpid/,,308111,2026-07-30T00:00:00.000Z,Listed for rent,2026-07-29T00:00:00.000Z,Listing removed,2026-07-04T00:00:00.000Z,Price change,2026-07-03T00:00:00.000Z,Sold,2026-06-30T00:00:00.000Z,Listed for rent,2026-05-20T00:00:00.000Z,Pending sale,2026-03-30T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120 Jonboy Ave, New Hope, AL 35760",120 Jonboy Ave,New Hope,AL,,forRent,3,1537,,1595,51,https://www.zillow.com/homedetails/120-Jonboy-Ave-New-Hope-AL-35760/461389520_zpid/,,287008,2026-08-04T00:00:00.000Z,Listed for rent,2026-07-31T00:00:00.000Z,Sold,2026-06-29T00:00:00.000Z,Pending sale,2026-03-30T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"128 Jonboy Ave, New Hope, AL 35760",128 Jonboy Ave,New Hope,AL,,forRent,3,1335,,1525,51,https://www.zillow.com/homedetails/128-Jonboy-Ave-New-Hope-AL-35760/461903989_zpid/,,275008,2026-08-04T00:00:00.000Z,Listed for rent,2026-07-31T00:00:00.000Z,Sold,2026-06-29T00:00:00.000Z,Pending sale,2026-04-22T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118 Nettle Leaf Dr, Meridianville, AL 35759",118 Nettle Leaf Dr,Meridianville,AL,,forRent,3,1281,,2100,1,https://www.zillow.com/homedetails/118-Nettle-Leaf-Dr-Meridianville-AL-35759/442676918_zpid/,,248965,2026-09-23T00:00:00.000Z,Listed for rent,2025-04-04T00:00:00.000Z,Sold,2025-03-09T00:00:00.000Z,Pending sale,2025-02-03T00:00:00.000Z,Price change,2025-01-21T00:00:00.000Z,Price change,2025-01-04T00:00:00.000Z,Price change,2024-12-09T00:00:00.000Z,Price change,2024-11-16T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"127 Jonboy Ave, New Hope, AL 35760",127 Jonboy Ave,New Hope,AL,,forRent,4,1558,,1526,41,https://www.zillow.com/homedetails/127-Jonboy-Ave-New-Hope-AL-35760/461903990_zpid/,,291324,2026-07-27T00:00:00.000Z,Price change,2026-07-02T00:00:00.000Z,Listed for rent,2026-07-01T00:00:00.000Z,Sold,2026-06-12T00:00:00.000Z,Pending sale,2026-04-22T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"128 Nettle Leaf Dr, Meridianville, AL 35759",128 Nettle Leaf Dr,Meridianville,AL,,forRent,3,1281,,2100,66,https://www.zillow.com/homedetails/128-Nettle-Leaf-Dr-Meridianville-AL-35759/452106604_zpid/,,240000,2026-07-20T00:00:00.000Z,Listed for rent,2025-09-12T00:00:00.000Z,Sold,2025-08-18T00:00:00.000Z,Pending sale,2025-07-11T00:00:00.000Z,Price change,2025-05-17T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"322 Jackson Point Cir, Huntsville, AL 35811",322 Jackson Point Cir,Huntsville,AL,,forRent,4,2108,,1900,11,https://www.zillow.com/homedetails/322-Jackson-Point-Cir-Huntsville-AL-35811/2069069951_zpid/,,321555,2026-09-22T00:00:00.000Z,Listing removed,2026-09-14T00:00:00.000Z,Listed for rent,2026-09-09T00:00:00.000Z,Price change,2026-08-07T00:00:00.000Z,Listed for sale,2022-01-22T00:00:00.000Z,Sold,2021-12-23T00:00:00.000Z,Pending sale,2021-12-16T00:00:00.000Z,Price change,2021-11-22T00:00:00.000Z,Pending sale,2021-11-17T00:00:00.000Z,Price change,2021-09-03T00:00:00.000Z,Price change,2021-08-13T00:00:00.000Z,Price change,2021-08-10T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15652 Ruthie Lynn Dr, Athens, AL 35613",15652 Ruthie Lynn Dr,Athens,AL,,forRent,4,2106,,1945,2,https://www.zillow.com/homedetails/15652-Ruthie-Lynn-Dr-Athens-AL-35613/462131227_zpid/,,,2026-09-22T00:00:00.000Z,Listed for rent,2026-09-22T00:00:00.000Z,Listing removed,2026-08-27T00:00:00.000Z,Price change,2026-08-15T00:00:00.000Z,Listed for rent,2026-08-15T00:00:00.000Z,Listing removed,2026-08-14T00:00:00.000Z,Price change,2026-08-05T00:00:00.000Z,Price change,2026-08-03T00:00:00.000Z,Listed for rent,2026-05-16T00:00:00.000Z,Listing removed,2026-05-02T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"403 Jackson Point Cir, Huntsville, AL 35811",403 Jackson Point Cir,Huntsville,AL,,forRent,5,2092,,2090,38,https://www.zillow.com/homedetails/403-Jackson-Point-Cir-Huntsville-AL-35811/453579213_zpid/,,308900,2026-08-17T00:00:00.000Z,Listed for rent,2025-11-03T00:00:00.000Z,Pending sale,2025-10-29T00:00:00.000Z,Sold,2025-06-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18864 Wicklow Cir, Athens, AL 35613",18864 Wicklow Cir,Athens,AL,,forRent,3,1272,,1575,41,https://www.zillow.com/homedetails/18864-Wicklow-Cir-Athens-AL-35613/392443260_zpid/,,231900,2026-09-17T00:00:00.000Z,Price change,2026-09-02T00:00:00.000Z,Price change,2026-08-14T00:00:00.000Z,Listed for rent,2025-07-09T00:00:00.000Z,Listing removed,2025-06-19T00:00:00.000Z,Price change,2025-06-05T00:00:00.000Z,Price change,2025-05-22T00:00:00.000Z,Listed for rent,2025-05-21T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2025-04-28T00:00:00.000Z,Sold,2025-04-25T00:00:00.000Z,Pending sale,2025-04-22T00:00:00.000Z,Price change,2025-04-04T00:00:00.000Z,Price change,2025-02-03T00:00:00.000Z,Price change,2025-01-20T00:00:00.000Z,Price change,2025-01-03T00:00:00.000Z,Price change,2024-10-23T00:00:00.000Z,Price change,2024-07-15T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,
